11/29/2019 08:37:37 -> 19.437, 66.987 (c, f)
11/29/2019 08:42:37 -> 20.062, 68.112 (c, f)
11/29/2019 08:47:37 -> 20.312, 68.562 (c, f)
11/29/2019 08:52:37 -> 20.687, 69.237 (c, f)
11/29/2019 08:57:37 -> 20.937, 69.687 (c, f)
11/29/2019 09:02:37 -> 20.812, 69.462 (c, f)
11/29/2019 09:07:38 -> 20.625, 69.125 (c, f)
11/29/2019 09:12:38 -> 20.875, 69.575 (c, f)
11/29/2019 09:17:38 -> 21.062, 69.912 (c, f)
11/29/2019 09:22:38 -> 20.875, 69.575 (c, f)
11/29/2019 09:27:38 -> 20.687, 69.237 (c, f)
11/29/2019 09:32:38 -> 20.875, 69.575 (c, f)
11/29/2019 09:37:38 -> 20.875, 69.575 (c, f)
11/29/2019 09:42:38 -> 21.0, 69.8 (c, f)
11/29/2019 09:47:38 -> 20.75, 69.35 (c, f)
11/29/2019 09:52:38 -> 20.625, 69.125 (c, f)
11/29/2019 09:57:38 -> 20.875, 69.575 (c, f)
11/29/2019 10:02:38 -> 21.125, 70.025 (c, f)
11/29/2019 10:07:38 -> 20.937, 69.687 (c, f)
11/29/2019 10:12:38 -> 20.625, 69.125 (c, f)
11/29/2019 10:17:38 -> 20.687, 69.237 (c, f)
11/29/2019 10:22:37 -> 20.937, 69.687 (c, f)
11/29/2019 10:27:37 -> 21.25, 70.25 (c, f)
11/29/2019 10:32:37 -> 20.875, 69.575 (c, f)
11/29/2019 10:37:37 -> 20.75, 69.35 (c, f)
11/29/2019 10:42:37 -> 20.625, 69.125 (c, f)
11/29/2019 10:47:37 -> 20.562, 69.012 (c, f)
11/29/2019 10:52:37 -> 20.437, 68.787 (c, f)
11/29/2019 10:57:37 -> 20.312, 68.562 (c, f)
11/29/2019 11:02:37 -> 20.375, 68.675 (c, f)
11/29/2019 11:07:37 -> 20.187, 68.337 (c, f)
11/29/2019 11:12:37 -> 20.0, 68.0 (c, f)
11/29/2019 11:17:37 -> 19.875, 67.775 (c, f)
11/29/2019 11:22:37 -> 19.75, 67.55 (c, f)
11/29/2019 11:27:37 -> 19.687, 67.437 (c, f)
11/29/2019 11:32:37 -> 19.625, 67.325 (c, f)
11/29/2019 11:37:37 -> 19.562, 67.212 (c, f)
11/29/2019 11:42:37 -> 19.5, 67.1 (c, f)
11/29/2019 11:47:37 -> 19.5, 67.1 (c, f)
11/29/2019 11:52:37 -> 19.5, 67.1 (c, f)
