date,time,c,f
12/07/2019,07:08:20,23.573,74.431
12/07/2019,07:38:20,23.521,74.337
12/07/2019,08:08:20,23.531,74.356
12/07/2019,08:38:20,23.521,74.337
12/07/2019,09:08:19,23.541,74.375
12/07/2019,09:38:19,23.531,74.356
12/07/2019,10:08:19,23.541,74.375
12/07/2019,10:38:19,23.552,74.394
12/07/2019,11:08:19,23.5,74.3
12/07/2019,11:38:19,23.489,74.281
12/07/2019,12:08:19,23.458,74.225
12/07/2019,12:38:18,23.5,74.3
12/07/2019,13:08:19,23.5,74.3
12/07/2019,13:38:19,23.489,74.281
12/07/2019,14:08:19,23.531,74.356
12/07/2019,14:38:20,23.489,74.281
12/07/2019,15:08:20,23.5,74.3
12/07/2019,15:38:19,23.437,74.187
12/07/2019,16:08:19,23.437,74.187
12/07/2019,16:38:19,23.396,74.112
12/07/2019,17:08:19,23.385,74.094
12/07/2019,17:38:19,23.396,74.112
12/07/2019,18:08:19,23.395,74.112
12/07/2019,18:38:19,23.448,74.206
12/07/2019,19:08:18,23.437,74.187
12/07/2019,19:38:18,23.416,74.15
12/07/2019,20:08:18,23.375,74.075
12/07/2019,20:38:18,23.385,74.094
12/07/2019,21:08:18,23.406,74.131
12/07/2019,21:38:18,23.437,74.187
12/07/2019,22:08:18,23.385,74.094
12/07/2019,22:38:18,23.396,74.112
12/07/2019,23:08:18,23.375,74.075
12/07/2019,23:38:18,23.333,74.0
12/08/2019,00:08:18,23.344,74.018
12/08/2019,00:38:17,23.281,73.906
12/08/2019,01:08:17,23.344,74.019
12/08/2019,01:38:17,23.312,73.962
12/08/2019,02:08:17,23.323,73.981
12/08/2019,02:38:17,23.281,73.906
12/08/2019,03:08:17,23.281,73.906
12/08/2019,03:38:17,23.281,73.906
12/08/2019,04:08:17,23.27,73.887
12/08/2019,04:38:17,23.25,73.85
12/08/2019,05:08:17,23.291,73.925
12/08/2019,05:38:17,23.281,73.906
12/08/2019,06:08:17,23.26,73.868
12/08/2019,06:38:17,23.187,73.737
12/08/2019,07:08:17,23.239,73.831
12/08/2019,07:38:17,23.239,73.831
12/08/2019,08:08:17,23.198,73.756
12/08/2019,08:38:16,23.208,73.775
12/08/2019,09:08:16,23.218,73.793
12/08/2019,09:38:16,23.208,73.775
12/08/2019,10:08:16,23.198,73.756
12/08/2019,10:38:16,23.239,73.831
12/08/2019,11:08:16,23.27,73.887
12/08/2019,11:38:15,23.26,73.869
12/08/2019,12:08:15,23.302,73.944
12/08/2019,12:38:15,23.313,73.962
12/08/2019,13:08:15,23.375,74.075
12/08/2019,13:38:16,23.406,74.131
12/08/2019,14:08:16,23.437,74.187
12/08/2019,14:38:16,23.5,74.3
12/08/2019,15:08:16,23.458,74.225
12/08/2019,15:38:16,23.541,74.375
12/08/2019,16:08:16,23.49,74.281
12/08/2019,16:38:17,23.427,74.169
12/08/2019,17:08:17,23.479,74.262
12/08/2019,17:38:17,23.489,74.281
12/08/2019,18:08:17,23.469,74.243
12/08/2019,18:38:17,23.51,74.318
12/08/2019,19:08:17,23.5,74.3
12/08/2019,19:38:16,23.552,74.393
12/08/2019,20:08:16,23.489,74.281
12/08/2019,20:38:16,23.552,74.394
12/08/2019,21:08:16,23.656,74.581
12/08/2019,21:38:16,23.52,74.337
12/08/2019,22:08:17,23.552,74.394
12/08/2019,22:38:17,23.51,74.319
12/08/2019,23:08:17,23.583,74.45
12/08/2019,23:38:17,23.489,74.281
12/09/2019,00:08:17,23.573,74.431
12/09/2019,00:38:17,23.583,74.45
12/09/2019,01:08:17,23.614,74.506
12/09/2019,01:38:16,23.594,74.469
12/09/2019,02:08:16,23.625,74.525
12/09/2019,02:38:17,23.541,74.375
12/09/2019,03:08:17,23.552,74.393
12/09/2019,03:38:17,23.583,74.45
12/09/2019,04:08:16,23.552,74.394
12/09/2019,04:38:17,23.604,74.487
12/09/2019,05:08:17,23.635,74.544
12/09/2019,05:38:17,23.614,74.506
12/09/2019,06:08:17,23.656,74.581
12/09/2019,06:38:17,23.541,74.375
12/09/2019,07:08:17,23.604,74.487
12/09/2019,07:38:18,23.583,74.45
12/09/2019,08:08:18,23.729,74.712
12/09/2019,08:38:18,23.76,74.768
12/09/2019,09:08:18,23.625,74.525
12/09/2019,09:38:17,23.875,74.975
12/09/2019,10:08:17,23.875,74.975
12/09/2019,10:38:17,24.031,75.256
12/09/2019,11:08:17,23.948,75.106
12/09/2019,11:38:17,24.01,75.218
12/09/2019,12:08:17,23.989,75.181
12/09/2019,12:38:17,23.937,75.087
12/09/2019,13:08:17,24.041,75.275
12/09/2019,13:38:17,24.041,75.275
12/09/2019,14:08:16,24.114,75.406
12/09/2019,14:38:16,24.073,75.331
12/09/2019,15:08:16,24.125,75.425
12/09/2019,15:38:16,24.031,75.256
12/09/2019,16:08:16,24.052,75.294
12/09/2019,16:38:16,24.093,75.368
12/09/2019,17:08:16,24.125,75.425
12/09/2019,17:38:16,24.094,75.368
12/09/2019,18:08:16,24.094,75.369
12/09/2019,18:38:15,24.25,75.65
12/09/2019,19:08:15,24.302,75.743
12/09/2019,19:38:15,24.281,75.706
12/09/2019,20:08:15,24.25,75.65
12/09/2019,20:38:15,24.25,75.65
12/09/2019,21:08:15,24.229,75.612
12/09/2019,21:38:15,24.166,75.5
12/09/2019,22:08:14,23.969,75.143
12/09/2019,22:38:14,23.885,74.993
12/09/2019,23:08:14,23.854,74.937
12/09/2019,23:38:14,24.0,75.2
12/10/2019,00:08:14,23.969,75.144
12/10/2019,00:38:14,24.093,75.368
12/10/2019,01:08:14,24.021,75.237
12/10/2019,01:38:14,24.093,75.369
12/10/2019,02:08:14,24.094,75.368
12/10/2019,02:38:14,23.958,75.125
12/10/2019,03:08:14,23.885,74.993
12/10/2019,03:38:14,24.0,75.2
12/10/2019,04:08:14,23.968,75.143
12/10/2019,04:38:14,24.062,75.312
12/10/2019,05:08:14,24.125,75.425
12/10/2019,05:38:14,24.104,75.387
12/10/2019,06:08:13,24.135,75.444
12/10/2019,06:38:13,24.052,75.294
12/10/2019,07:08:13,24.062,75.312
12/10/2019,07:38:13,24.135,75.444
12/10/2019,08:08:12,24.291,75.725
12/10/2019,08:38:12,24.312,75.762
12/10/2019,09:08:12,24.208,75.575
12/10/2019,09:38:12,24.312,75.762
12/10/2019,10:08:12,24.229,75.612
12/10/2019,10:38:12,24.26,75.669
12/10/2019,11:08:12,24.208,75.575
12/10/2019,11:38:12,24.208,75.575
12/10/2019,12:08:12,24.135,75.444
12/10/2019,12:38:12,24.041,75.275
12/10/2019,13:08:12,24.041,75.275
12/10/2019,13:38:12,23.99,75.181
12/10/2019,14:08:12,23.937,75.087
12/10/2019,14:38:11,23.948,75.106
12/10/2019,15:08:11,23.958,75.125
12/10/2019,15:38:11,23.979,75.162
12/10/2019,16:08:11,23.937,75.087
12/10/2019,16:38:11,23.906,75.031
12/10/2019,17:08:11,23.948,75.106
12/10/2019,17:38:11,23.875,74.975
12/10/2019,18:08:10,23.854,74.937
12/10/2019,18:38:11,23.791,74.825
12/10/2019,19:08:11,23.781,74.806
12/10/2019,19:38:11,23.791,74.825
12/10/2019,20:08:11,23.812,74.862
12/10/2019,20:38:10,23.75,74.75
12/10/2019,21:08:10,23.771,74.787
12/10/2019,21:38:10,23.833,74.9
12/10/2019,22:08:10,23.812,74.862
12/10/2019,22:38:10,23.74,74.731
12/10/2019,23:08:10,23.677,74.618
12/10/2019,23:38:10,23.594,74.469
12/11/2019,00:08:09,23.635,74.544
12/11/2019,00:38:09,23.635,74.544
12/11/2019,01:08:09,23.604,74.487
12/11/2019,01:38:10,23.604,74.487
12/11/2019,02:08:10,23.583,74.45
12/11/2019,02:38:10,23.677,74.618
12/11/2019,03:08:10,23.635,74.544
12/11/2019,03:38:10,23.594,74.469
12/11/2019,04:08:09,23.635,74.543
12/11/2019,04:38:09,23.604,74.487
12/11/2019,05:08:09,23.593,74.469
12/11/2019,05:38:10,23.645,74.562
12/11/2019,06:08:10,23.625,74.525
12/11/2019,06:38:10,23.604,74.487
12/11/2019,07:08:09,23.666,74.6
12/11/2019,07:38:09,23.646,74.562
12/11/2019,08:08:09,23.614,74.506
12/11/2019,08:38:09,23.604,74.487
12/11/2019,09:08:09,23.646,74.562
12/11/2019,09:38:09,23.656,74.581
12/11/2019,10:08:09,23.666,74.6
12/11/2019,10:38:08,23.76,74.768
12/11/2019,11:08:08,23.791,74.825
12/11/2019,11:38:08,23.823,74.881
12/11/2019,12:08:08,23.833,74.9
12/11/2019,12:38:08,23.906,75.031
12/11/2019,13:08:08,23.927,75.069
12/11/2019,13:38:07,23.875,74.975
12/11/2019,14:08:07,23.885,74.993
12/11/2019,14:38:07,23.854,74.937
12/11/2019,15:08:07,23.843,74.918
12/11/2019,15:38:07,23.75,74.75
12/11/2019,16:08:07,23.708,74.674
12/11/2019,16:38:06,23.656,74.581
12/11/2019,17:08:06,23.604,74.487
12/11/2019,17:38:07,23.562,74.412
12/11/2019,18:08:07,23.541,74.375
12/11/2019,18:38:06,23.51,74.319
12/11/2019,19:08:06,23.489,74.281
12/11/2019,19:38:06,23.406,74.131
12/11/2019,20:08:06,23.354,74.037
12/11/2019,20:38:06,23.323,73.981
12/11/2019,21:08:05,23.343,74.019
12/11/2019,21:38:05,23.26,73.868
12/11/2019,22:08:05,23.26,73.868
12/11/2019,22:38:05,23.239,73.831
12/11/2019,23:08:05,23.25,73.85
12/11/2019,23:38:05,23.198,73.756
